ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
MAHABANK.NS,MAHABANK,532525,INE457A01014,2010-01-01,2022-12-30
MAHSCOOTER.NS,MAHSCOOTER,500266,INE288A01013,2021-06-25,2022-12-30
MAHSEAMLES.NS,MAHSEAMLES,500265,INE271B01025,2010-01-01,2022-12-30
MANAPPURAM.NS,MANAPPURAM,531213,INE522D01027,2010-12-24,2022-12-30
MANYAVAR.NS,MANYAVAR,543463,INE825V01034,2022-08-12,2022-12-30
MAPMYINDIA.NS,MAPMYINDIA,543425,INE0BV301023,2022-06-17,2022-12-30
MARICO.NS,MARICO,531642,INE196A01026,2010-01-01,2022-12-30
MARUTI.NS,MARUTI,532500,INE585B01010,2010-01-01,2022-12-30
MAXHEALTH.NS,MAXHEALTH,543220,INE027H01010,2021-02-12,2022-12-30
MAZDOCK.NS,MAZDOCK,543237,INE249Z01020,2021-04-09,2022-12-30
MCX.NS,MCX,534091,INE745G01035,2012-08-31,2022-12-30
METROPOLIS.NS,METROPOLIS,542650,INE112L01020,2019-10-11,2022-12-30
MFSL.NS,MFSL,500271,INE180A01020,2010-01-01,2022-12-30
MGL.NS,MGL,539957,INE002S01010,2016-12-23,2022-12-30
MICRO.NS,MICRO,,INE056A01014,2010-03-05,2010-04-09
